Company,Region,Category,Careers / Job Board URL,Remote Policy (typical),Est. Junior AI/ML Salary Range (1-3 YOE),Notes,Tier,Why Target This Company,Research Status,ATS,ATS Identifier
1Password,,,https://jobs.ashbyhq.com/1password,,,,,,"Verified live via resolve_new_companies.py --retry-unresolved --brute-force (sure-shot filtered: nonzero jobs, identifier len>=5, no cross-collision, SMB-tier ATS required >=15 jobs)",ashby,1password
AVEVA,,,https://aveva.wd3.myworkdayjobs.com/AVEVA_careers,,,,,,Verified live via WebSearch + manual verification (group 1),workday,aveva.wd3.myworkdayjobs.com/AVEVA_careers
Abnormal AI,,,https://boards.greenhouse.io/abnormalsecurity,,,,,,Verified live via resolve_new_companies.py + WebSearch fork (batch 1),greenhouse,abnormalsecurity
Abridge,,,https://jobs.ashbyhq.com/abridge,,,,,,Verified live via resolve_new_companies.py + WebSearch fork (batch 2),ashby,abridge
Accenture,,,https://accenture.wd103.myworkdayjobs.com/AccentureCareers,,,,,,Verified live via Claude-in-Chrome recheck (round 2),workday,accenture.wd103.myworkdayjobs.com/AccentureCareers
Ada,,,https://boards.greenhouse.io/ada18,,,,,,Verified live via WebSearch + manual verification (group 1),greenhouse,ada18
Adobe India,,,https://adobe.wd5.myworkdayjobs.com/external_experienced,,,,,,Verified live via resolve_new_companies.py,workday,adobe.wd5.myworkdayjobs.com/external_experienced
Agoda,,,https://boards.greenhouse.io/agoda,,,,,,Verified live via resolve_new_companies.py --new-only,greenhouse,agoda
AiDASH,,,https://boards.greenhouse.io/aidashinc,,,,,,Verified live via resolve_new_companies.py --new-only,greenhouse,aidashinc
AiPrise,,,https://jobs.ashbyhq.com/aiprise,,,,,,Verified live via resolve_new_companies.py --new-only,ashby,aiprise
Airbnb,,,https://boards.greenhouse.io/airbnb,,,,,,Verified live via resolve_new_companies.py --new-only,greenhouse,airbnb
Airbyte,,,https://jobs.ashbyhq.com/airbyte,,,,,,"Verified live via resolve_new_companies.py --retry-unresolved --brute-force (sure-shot filtered: nonzero jobs, identifier len>=5, no cross-collision, SMB-tier ATS required >=15 jobs)",ashby,airbyte
Airtable,,,https://boards.greenhouse.io/airtable,,,,,,Verified live via resolve_new_companies.py,greenhouse,airtable
AltaML,,,https://jobs.lever.co/altaml,,,,,,"Verified live via resolve_new_companies.py --retry-unresolved --brute-force (sure-shot filtered: nonzero jobs, identifier len>=5, no cross-collision, SMB-tier ATS required >=15 jobs)",lever,altaml
Andromeda Cluster,,,https://jobs.ashbyhq.com/andromeda,,,,,,Verified live via resolve_new_companies.py --new-only,ashby,andromeda
Anduril,,,https://boards.greenhouse.io/andurilindustries,,,,,,Verified live via resolve_new_companies.py + WebSearch fork (batch 1),greenhouse,andurilindustries
Anthropic,,,https://boards.greenhouse.io/anthropic,,,,,,Verified live via resolve_new_companies.py,greenhouse,anthropic
Arize AI,,,https://boards.greenhouse.io/arizeai,,,,,,Verified live via resolve_new_companies.py,greenhouse,arizeai
Ashby,,,https://jobs.ashbyhq.com/ashby,,,,,,Verified live via resolve_new_companies.py --new-only,ashby,ashby
AssemblyAI,,,https://boards.greenhouse.io/assemblyai,,,,,,Verified live via resolve_new_companies.py,greenhouse,assemblyai
Astronomer,,,https://jobs.ashbyhq.com/astronomer,,,,,,Verified live via resolve_new_companies.py + WebSearch fork (batch 2),ashby,astronomer
Atla AI,,,https://atla.teamtailor.com/jobs,,,,,,Verified live via resolve_new_companies.py --retry-unresolved --brute-force (recovered during recheck - dropped from earlier manual merge),teamtailor,atla
Augment Computing,,,https://boards.greenhouse.io/augmentcomputing,,,,,,"Verified live via resolve_new_companies.py --retry-unresolved --brute-force (sure-shot filtered: nonzero jobs, identifier len>=5, no cross-collision, SMB-tier ATS required >=15 jobs)",greenhouse,augmentcomputing
Automattic,,,https://boards.greenhouse.io/automatticcareers,,,,,,Verified live via resolve_new_companies.py + WebSearch fork (batch 1),greenhouse,automatticcareers
Axiom Zen,,,https://boards.greenhouse.io/axiom,,,,,,"Verified live via resolve_new_companies.py --retry-unresolved --brute-force (sure-shot filtered: nonzero jobs, identifier len>=5, no cross-collision, SMB-tier ATS required >=15 jobs)",greenhouse,axiom
Baseten,,,https://jobs.ashbyhq.com/baseten,,,,,,Verified live via resolve_new_companies.py,ashby,baseten
BenchSci,,,https://jobs.lever.co/benchsci,,,,,,"Verified live via resolve_new_companies.py --retry-unresolved --brute-force (sure-shot filtered: nonzero jobs, identifier len>=5, no cross-collision, SMB-tier ATS required >=15 jobs)",lever,benchsci
Better Mortgage,,,https://jobs.ashbyhq.com/better-mortgage,,,,,,Verified live via resolve_new_companies.py --new-only,ashby,better-mortgage
Black Forest Labs,,,https://jobs.ashbyhq.com/black-forest-labs,,,,,,Verified live via resolve_new_companies.py --new-only,ashby,black-forest-labs
BlackRock,,,https://blackrock.wd1.myworkdayjobs.com/BlackRock_Professional,,,,,,Verified live via Claude-in-Chrome recheck (round 2),workday,blackrock.wd1.myworkdayjobs.com/BlackRock_Professional
Bland AI,,,https://jobs.ashbyhq.com/bland,,,,,,Verified live via resolve_new_companies.py,ashby,bland
BlueDot,,,https://jobs.ashbyhq.com/bluedot,,,,,,"Verified live via resolve_new_companies.py --retry-unresolved --brute-force (sure-shot filtered: nonzero jobs, identifier len>=5, no cross-collision, SMB-tier ATS required >=15 jobs)",ashby,bluedot
Brex,,,https://boards.greenhouse.io/brex,,,,,,Verified live via resolve_new_companies.py + WebSearch fork (batch 1),greenhouse,brex
BrowserStack,,,https://browserstack.wd3.myworkdayjobs.com/External,,,,,,Verified live via resolve_new_companies.py,workday,browserstack.wd3.myworkdayjobs.com/External
Browserbase,,,https://jobs.ashbyhq.com/browserbase,,,,,,Verified live via resolve_new_companies.py --new-only,ashby,browserbase
Buffer,,,https://jobs.ashbyhq.com/buffer,,,,,,"Verified live via resolve_new_companies.py --retry-unresolved --brute-force (sure-shot filtered: nonzero jobs, identifier len>=5, no cross-collision, SMB-tier ATS required >=15 jobs)",ashby,buffer
C3 AI,,,https://boards.greenhouse.io/c3ascend,,,,,,Verified live via resolve_new_companies.py + WebSearch fork (batch 1),greenhouse,c3ascend
CRED,,,https://jobs.lever.co/cred,,,,,,"Verified live via resolve_new_companies.py --retry-unresolved --brute-force (recovered during recheck audit - distinctive brand name, not a generic collision)",lever,cred
