Company,ATS,ATS Identifier,JobCount
Abnormal AI,greenhouse,abnormalsecurity,74
Anduril,greenhouse,andurilindustries,2166
Brex,greenhouse,brex,302
C3 AI,greenhouse,c3ascend,0
Databricks,greenhouse,databricks,808
Dust,ashby,dust,22
Elastic,greenhouse,elastic,230
LlamaIndex,ashby,llamaindex,15
Mem0,ashby,mem0,3
MongoDB,greenhouse,mongodb,397
Palantir,lever,palantir,302
PlanetScale,greenhouse,planetscale,9
Recursion,greenhouse,recursionpharmaceuticals,18
Tailscale,greenhouse,tailscale,55
Kraken,lever,kraken,0
Confluent,ashby,confluent,32
Plaid,ashby,plaid,112
DataRobot,workday,datarobot.wd1.myworkdayjobs.com/DataRobot_External_Careers,20
Automattic,greenhouse,automatticcareers,23
DuckDuckGo,ashby,duck-duck-go,10
Sourcegraph,greenhouse,sourcegraph91,8
Sentry,ashby,sentry,48
Deepgram,ashby,deepgram,78
CrewAI,workable,crewai,9
Hebbia,ashby,hebbia-ai,25
Qdrant,ashby,qdrant.tech,11
Tempus AI,workday,tempus.wd5.myworkdayjobs.com/Tempus_Careers,20
Fiddler AI,ashby,fiddler-ai,6
Magic,ashby,magic.dev,11
Weights & Biases,greenhouse,coreweave,291
InMobi,greenhouse,inmobi,68
Decart,ashby,decart-ai,0
Scaler,ashby,scaler,0
