Company,Reason
10up,no live-verifiable identifier found
AVEVA,no live-verifiable identifier found
Ada,no live-verifiable identifier found
Adobe,no live-verifiable identifier found
Agnikul,no live-verifiable identifier found
Airtel Digital,no live-verifiable identifier found
Akamai,no live-verifiable identifier found
American Express,no live-verifiable identifier found
Anaconda,no live-verifiable identifier found
Anysphere (Cursor),no live-verifiable identifier found
Appsmith,no live-verifiable identifier found
Arya.ai,no live-verifiable identifier found
Augment Code,no live-verifiable identifier found
Bellatrix Aerospace,no live-verifiable identifier found
Bentley Systems,no live-verifiable identifier found
BharatPe,no live-verifiable identifier found
BlackBuck,no live-verifiable identifier found
Bleenk,no live-verifiable identifier found
Blinkit,no live-verifiable identifier found
Browser Use,no live-verifiable identifier found
Builder.io,no live-verifiable identifier found
Captions,no live-verifiable identifier found
Chargebee,no live-verifiable identifier found
Ciena,no live-verifiable identifier found
Cisco,no live-verifiable identifier found
Cloudera,no live-verifiable identifier found
Codeium,no live-verifiable identifier found
Cognizant,no live-verifiable identifier found
Cognosys,no live-verifiable identifier found
Cogram,no live-verifiable identifier found
Cohesity,no live-verifiable identifier found
Continue,no live-verifiable identifier found
Continue.dev,no live-verifiable identifier found
Coveo,no live-verifiable identifier found
Crawl4AI,no live-verifiable identifier found
Cvent,no live-verifiable identifier found
DSME Global,no live-verifiable identifier found
Daily.dev,no live-verifiable identifier found
DarwinAI,no live-verifiable identifier found
Darwinbox,no live-verifiable identifier found
Dassault Systèmes,no live-verifiable identifier found
Decodable,no live-verifiable identifier found
DeepRunner AI,no live-verifiable identifier found
Delhivery,no live-verifiable identifier found
Dell Technologies,no live-verifiable identifier found
Denodo,no live-verifiable identifier found
Detect Technologies,no live-verifiable identifier found
Doist,no live-verifiable identifier found
Dream11,no live-verifiable identifier found
Dynatrace,no live-verifiable identifier found
EPAM Systems,no live-verifiable identifier found
EXL,no live-verifiable identifier found
Eka Software,no live-verifiable identifier found
Enfabrica (Canada team),no live-verifiable identifier found
Ericsson,no live-verifiable identifier found
Expedia Group,no live-verifiable identifier found
F5,no live-verifiable identifier found
Fal.ai,no live-verifiable identifier found
FarEye,no live-verifiable identifier found
Fiserv,no live-verifiable identifier found
Flipkart,no live-verifiable identifier found
Flowise,no live-verifiable identifier found
Fyle,no live-verifiable identifier found
GE Aerospace,no live-verifiable identifier found
GE HealthCare,no live-verifiable identifier found
GalaxEye,no live-verifiable identifier found
Gan.ai,no live-verifiable identifier found
Gartner,no live-verifiable identifier found
Genesys,no live-verifiable identifier found
Globant,no live-verifiable identifier found
Gnani.ai,no live-verifiable identifier found
Google,no live-verifiable identifier found
Google India,no live-verifiable identifier found
Gramener,no live-verifiable identifier found
GreyOrange,no live-verifiable identifier found
Groq,no live-verifiable identifier found
Gupshup,no live-verifiable identifier found
HCLTech AI Labs,no live-verifiable identifier found
HPE,no live-verifiable identifier found
Haptik,no live-verifiable identifier found
HashiCorp,no live-verifiable identifier found
Hasura,no live-verifiable identifier found
HealthPlix,no live-verifiable identifier found
Hewlett Packard Enterprise (HPE),no live-verifiable identifier found
Honeywell,no live-verifiable identifier found
Humanloop,no live-verifiable identifier found
Humanloop Careers,no live-verifiable identifier found
HyperVerge,no live-verifiable identifier found
IBM,no live-verifiable identifier found
Informatica,no live-verifiable identifier found
Innovaccer,no live-verifiable identifier found
Intuit,no live-verifiable identifier found
Jio AI,no live-verifiable identifier found
Jio Platforms,no live-verifiable identifier found
Julep,no live-verifiable identifier found
Juspay,no live-verifiable identifier found
Katonic AI,no live-verifiable identifier found
Keysight Technologies,no live-verifiable identifier found
Krutrim,no live-verifiable identifier found
LTIMindtree,no live-verifiable identifier found
LatentView,no live-verifiable identifier found
Lyzr AI,no live-verifiable identifier found
Mad Street Den,no live-verifiable identifier found
Mastercard,no live-verifiable identifier found
MathCo,no live-verifiable identifier found
MathWorks,no live-verifiable identifier found
McKinsey (QuantumBlack),no live-verifiable identifier found
Microsoft,no live-verifiable identifier found
Microsoft India AI,no live-verifiable identifier found
Milvus (Zilliz),no live-verifiable identifier found
Monsoon CreditTech,no live-verifiable identifier found
Myntra,no live-verifiable identifier found
NVIDIA,no live-verifiable identifier found
Nagarro,no live-verifiable identifier found
NeuralGarage,no live-verifiable identifier found
Neysa,no live-verifiable identifier found
Niramai,no live-verifiable identifier found
Nokia,no live-verifiable identifier found
Nutanix India,no live-verifiable identifier found
OctoAI,no live-verifiable identifier found
OpenText,no live-verifiable identifier found
Optum,no live-verifiable identifier found
Oracle,no live-verifiable identifier found
Palo Alto Networks,no live-verifiable identifier found
PayPal,no live-verifiable identifier found
Pearson,no live-verifiable identifier found
Perfios,no live-verifiable identifier found
Persistent Systems,no live-verifiable identifier found
Philips,no live-verifiable identifier found
Phoenix360,no live-verifiable identifier found
PhysicsWallah,no live-verifiable identifier found
Pieces,no live-verifiable identifier found
Pixis,no live-verifiable identifier found
Pixxel,no live-verifiable identifier found
Preset,no live-verifiable identifier found
Publicis Sapient,no live-verifiable identifier found
QpiAI,no live-verifiable identifier found
Qualcomm,no live-verifiable identifier found
Qualcomm India,no live-verifiable identifier found
Qure.ai,no live-verifiable identifier found
Reflection70B,no live-verifiable identifier found
Rephrase.ai,no live-verifiable identifier found
Replicate,no live-verifiable identifier found
Retool,no live-verifiable identifier found
Rezo.ai,no live-verifiable identifier found
RingCentral,no live-verifiable identifier found
Rippling Payments,no live-verifiable identifier found
Salesforce,no live-verifiable identifier found
Scispot,no live-verifiable identifier found
ShareChat,no live-verifiable identifier found
Siemens,no live-verifiable identifier found
Siemens Digital Industries,no live-verifiable identifier found
Siemens India Digital,no live-verifiable identifier found
Skyroot,no live-verifiable identifier found
Sonar,no live-verifiable identifier found
Sprinklr,no live-verifiable identifier found
SquadStack,no live-verifiable identifier found
Synopsys,no live-verifiable identifier found
Target India,no live-verifiable identifier found
Teradata,no live-verifiable identifier found
Tredence,no live-verifiable identifier found
Truewind,no live-verifiable identifier found
UKG,no live-verifiable identifier found
Uniphore,no live-verifiable identifier found
United Airlines Digital Technology,no live-verifiable identifier found
UnitedHealth / Optum,no live-verifiable identifier found
UnitedHealth Group / Optum,no live-verifiable identifier found
UpGrad,no live-verifiable identifier found
VMware (Broadcom),no live-verifiable identifier found
VoyageX AI,no live-verifiable identifier found
WeBuildTech,no live-verifiable identifier found
Windsurf,no live-verifiable identifier found
Xanadu,no live-verifiable identifier found
Xane AI,no live-verifiable identifier found
ZS Associates,no live-verifiable identifier found
Zep,no live-verifiable identifier found
Zerodha,no live-verifiable identifier found
Zomato,no live-verifiable identifier found
Zoom,no live-verifiable identifier found
payu,no live-verifiable identifier found
withRemote,no live-verifiable identifier found
